epoch,train_loss,train_affinity_loss,train_lsd_loss,val_loss,val_affinity_loss,val_lsd_loss,val_dice,val_iou,seconds
1,0.6055188893030087,0.5214886416991552,0.08403025132914384,0.4732959568500519,0.4113216996192932,0.06197425226370493,0.8683294852574667,0.7708485126495361,220.8
2,0.4924253709614277,0.43245549127459526,0.059969879842052855,0.3872550328572591,0.3340900142987569,0.05316502476731936,0.9052531520525614,0.8285715381304423,213.0
3,0.4338623993098736,0.3753439324597518,0.058518466617291175,0.3410471777121226,0.2908123830954234,0.05023480082551638,0.8895502289136251,0.8020106156667074,217.5
4,0.41879561978081864,0.3595125942180554,0.059283025174712144,0.3350931207338969,0.2783677677313487,0.05672534306844076,0.8897303144137064,0.8032582004865011,213.3
5,0.3976083602756262,0.3423839583992958,0.055224402186771236,0.30932538708051044,0.25130988160769147,0.05801550547281901,0.9119974573453268,0.8389264543851217,210.3
6,0.38201600809892017,0.3273345309620102,0.05468147659363846,0.2940206130345662,0.23170029620329538,0.06232031931479772,0.9188224871953329,0.8506704370180765,210.4
7,0.35263178776949644,0.3004397653664152,0.052192023023962975,0.26815513769785565,0.2198305626710256,0.048324570059776306,0.910398542881012,0.8368504842122396,208.1
8,0.3727492702503999,0.31910847313702106,0.053640798976023994,0.2351586570342382,0.18803242842356363,0.04712622861067454,0.9404354492823283,0.8886533776919047,211.8
9,0.3632527096197009,0.3123310549805562,0.05092165688984096,0.2494667818148931,0.20495001475016275,0.04451676458120346,0.9277758399645487,0.8659254113833109,211.0
10,0.34504083699236315,0.29621488507837057,0.048825952651289604,0.30078161756197613,0.2482453634341558,0.0525362528860569,0.9007801612218221,0.8208294113477071,204.4
11,0.32989803825815517,0.2840740093961358,0.04582402890082449,0.2713860770066579,0.22484751045703888,0.04653856034080187,0.9070788224538168,0.8311357696851095,201.6
12,0.33885361968229216,0.2900404545168082,0.04881316729976485,0.2741088519493739,0.22648646434148154,0.04762239257494608,0.89826766649882,0.8168755372365316,205.9
13,0.33889289665967226,0.2900850847363472,0.048807812544206776,0.2523745397726695,0.20769415299097696,0.04468039174874624,0.9088951945304871,0.8341048757235209,209.2
14,0.3469839571043849,0.29658043415596086,0.05040352256037295,0.3083810309569041,0.2540556639432907,0.054325359563032784,0.8961141506830851,0.8132052421569824,213.3
15,0.3317902556930979,0.2837274329115947,0.04806282375163088,0.24589898188908896,0.20447935660680136,0.04141962776581446,0.9060380260149637,0.8296374678611755,213.5
16,0.3212213460355997,0.27488710296650726,0.04633424368997415,0.2451502432425817,0.19864686330159506,0.04650337373216947,0.9134838779767355,0.8417842189470927,205.1
17,0.36759142360339564,0.3149874359369278,0.05260398747244229,0.2270844727754593,0.18838041524092355,0.038704052567481995,0.9107232491175333,0.8379656076431274,219.5
18,0.3388213074455659,0.29113514131555956,0.04768616775982082,0.2272153695424398,0.18954151372114816,0.03767386078834534,0.9075468381245931,0.8319669365882874,220.5
19,0.34441547747701406,0.29378044977784157,0.05063502634099374,0.24709485967954,0.20539443691571554,0.04170042835175991,0.9118184248606364,0.8392329216003418,217.2
20,0.34476867442329723,0.29625894750157994,0.04850972758140415,0.23110793034235635,0.18706639111042023,0.04404153302311897,0.9309956431388855,0.8718870083491007,219.9
