epoch,train_loss,train_affinity_loss,train_lsd_loss,val_loss,val_affinity_loss,val_lsd_loss,val_dice,val_iou,seconds
1,0.3111069854535162,0.2640450842119753,0.04706190138822421,0.2119679475824038,0.17384832973281542,0.038119615676502384,0.921952466169993,0.8559745450814565,3349.1
2,0.2108322811406106,0.17721855020150543,0.033613730979850515,0.19134466350078583,0.15918762981891632,0.03215703399231037,0.9225781063238779,0.8565841217835745,3366.8
3,0.1713059452921152,0.1446171485632658,0.026688796852249654,0.15016791224479675,0.12289314592878024,0.027274764142930508,0.9477504988511404,0.9014187157154083,3363.4
4,0.1368298290623352,0.11509442781563849,0.02173540152842179,0.12813431024551392,0.10395797590414683,0.024176335117469232,0.9536122481028239,0.9119009673595428,3375.8
5,0.11436453405302018,0.09595253036823123,0.018412003917037508,0.12674586599071822,0.1050837766379118,0.02166208780060212,0.952301432689031,0.9109355509281158,3370.4
6,0.09879517536144704,0.0827132054953836,0.016081969886436127,0.10876615531742573,0.08889537987609704,0.019870776993532974,0.9608942369620005,0.9258456230163574,3365.3
7,0.08693346259417012,0.07275539203546941,0.014178070658817887,0.11581631066898505,0.09630713580797116,0.019509173929691315,0.9608290096124014,0.9260559181372324,3374.4
8,0.07885973093099892,0.06601219811011105,0.012847532901214436,0.08799715774754684,0.0736432671546936,0.014353889351089796,0.967028925816218,0.9369811018308004,3410.2
9,0.07176318522309884,0.05999836318893358,0.011764822159893811,0.0678765457123518,0.057133350210885205,0.010743196122348309,0.9715519150098165,0.9454296131928762,3390.2
10,0.06864331854041666,0.05744737060857005,0.011195948077365757,0.07053045462816954,0.060130903186897434,0.01039955229498446,0.9714667201042175,0.945730189482371,3396.0
11,0.06534524555783719,0.05459760177647695,0.010747643859358504,0.05322044094403585,0.04341849436362585,0.009801946658020219,0.9809713860352834,0.9628016750017802,3391.5
12,0.06114801942138001,0.05114059634506703,0.010007423065544571,0.09061057058473428,0.07544386138518651,0.015166709044327339,0.96880375345548,0.9400054713090261,3384.1
13,0.05872788763837889,0.04899805151973851,0.009729836125625297,0.07920991815626621,0.06770860652128856,0.011501310858875513,0.9697798788547516,0.9420743981997172,3360.0
14,0.05706456477288157,0.04765930751687847,0.009405257253383752,0.09538922148446242,0.08249891176819801,0.01289030994909505,0.9640188912550608,0.9309608240922292,3355.0
15,0.05450429782504216,0.04544513465138152,0.009059163205965887,0.13285632307330766,0.11529564050336678,0.01756068194905917,0.9560245871543884,0.9165512720743815,3360.7
16,0.0532135862018913,0.04431245226995088,0.008901133965700865,0.0851758246620496,0.07436634103457133,0.010809482773765922,0.9681653181711832,0.9392716586589813,3366.3
17,0.050096915063913915,0.04173395741963759,0.008362957637291401,0.063584353774786,0.05439906225850185,0.009185292137165865,0.9754124879837036,0.9524082144101461,3375.8
18,0.04966681496240199,0.0414032388990745,0.008263576090976131,0.10403161868453026,0.09100981925924619,0.013021800356606642,0.9570340315500895,0.9191929797331492,3394.0
19,0.047955871507292615,0.03997949932818301,0.00797637222247431,0.09262524296840031,0.08014830636481445,0.012476935284212232,0.9685622354348501,0.9397526681423187,3394.6
20,0.04670971630141139,0.03887332170445006,0.007836394648184069,0.07827464118599892,0.06739229056984186,0.010882352090751132,0.9737390478452047,0.9494378864765167,3405.1
21,0.04537133334786631,0.03778166970703751,0.007589663688850124,0.07966028681645791,0.06913441543777783,0.01052587068018814,0.9723526934782664,0.9469568133354187,3426.6
22,0.04475378824048676,0.03728626125608571,0.007467526967811864,0.06432388971249263,0.055429681514700256,0.008894208120182157,0.9750091334184011,0.9518299102783203,3403.0
23,0.044455885807983576,0.03703069098992273,0.0074251947732409465,0.09835910300413768,0.0868817822386821,0.011477319911743203,0.9652776618798574,0.9338951508204142,3429.4
