epoch,train_loss,train_affinity_loss,train_lsd_loss,val_loss,val_affinity_loss,val_lsd_loss,val_dice,val_iou,seconds
1,0.3368482567183673,0.28658105185255406,0.05026720502064563,0.22681215653816858,0.18374905486901602,0.04306309980650743,0.9164332449436188,0.8464576303958893,3785.5
2,0.24573518770746886,0.20709025241434575,0.03864493560278788,0.18811762084563574,0.15566689521074295,0.0324507262557745,0.9233721494674683,0.8582208752632141,3787.8
3,0.19992020262405277,0.170030077137053,0.029890125644160433,0.1379740151266257,0.11075152456760406,0.027222492111225922,0.9549599587917328,0.9140284260114034,3449.0
4,0.1602466707583517,0.13597741665318608,0.024269254378741608,0.10014782225092252,0.0806754690905412,0.019472353781263035,0.9651717444260915,0.9329594870408376,3391.6
5,0.13641200284473598,0.11567407859489322,0.02073792438604869,0.10452307388186455,0.08593598132332166,0.01858709054067731,0.9619394242763519,0.92771777510643,3355.6
6,0.12026360032148659,0.1020609655091539,0.018202634963090533,0.12608847270409265,0.10471017037828763,0.021378302946686745,0.9521610339482626,0.9109259247779846,3360.1
7,0.11352689920691773,0.096603315747343,0.016923583602765576,0.08905456339319547,0.07405641737083594,0.014998147574563822,0.9684508045514425,0.9394857784112295,3373.7
8,0.10687191913835704,0.09128029281739146,0.015591626520617866,0.07785024866461754,0.0636993454148372,0.014150905112425486,0.9716298083464304,0.945412278175354,3403.6
9,0.10299929359462112,0.08812037448631599,0.014878919139155187,0.06806691611806552,0.05712769118448099,0.010939225476856032,0.9709958334763845,0.9444356064001719,3379.1
10,0.09831568520516157,0.08414024891797453,0.01417543618939817,0.06973433308303356,0.059513213112950325,0.010221119737252593,0.9696038365364075,0.9425128102302551,3380.9
11,0.09814070706255734,0.08418684368487447,0.01395386350224726,0.051954793433348335,0.04244712616006533,0.009507667971774936,0.9816300868988037,0.9640676180521647,3405.5
12,0.09535670722369105,0.0818192988098599,0.013537408502888865,0.08796007248262565,0.07348270403842132,0.014477367668102184,0.9689980546633402,0.9405709703763326,3343.4
13,0.09242369369138032,0.07933221101760864,0.013091482755262404,0.06668520842989285,0.056456085915366806,0.010229122824966908,0.9734459519386292,0.9488861560821533,3386.9
14,0.09076519986148923,0.07798737564589828,0.012777824285440147,0.07824032505353291,0.06630435896416505,0.011935966555029154,0.9697092572848002,0.9414804478486379,3360.9
15,0.08904863833682612,0.07663691143039614,0.01241172694368288,0.06845257927974065,0.057680691902836166,0.01077188877388835,0.974476546049118,0.9505173365275065,3340.9
16,0.08723701115697623,0.0751317571499385,0.01210525413742289,0.067705853531758,0.05798785543690125,0.009717998482907811,0.9728085199991862,0.9476899604002634,3392.1
17,0.08642099265940488,0.07441154207801447,0.012009450675395782,0.059249372531970344,0.050121684869130455,0.009127687895670533,0.9754370748996735,0.9524641732374827,3352.3
18,0.08433793879812583,0.07262334946310148,0.011714589494804386,0.08895931392908096,0.07539290065566699,0.013566414515177408,0.9602526823679606,0.92509592572848,3361.1
19,0.08270507011096924,0.07124675068771466,0.01145831958972849,0.07286794483661652,0.06075440968076388,0.012113535776734352,0.972301185131073,0.9464204410711924,3363.0
20,0.08238433049991727,0.07100647972198203,0.01137785091297701,0.05883884554107984,0.04900731425732374,0.009831531827027598,0.9780646761258444,0.9575764338175455,3404.2
21,0.08149406485725194,0.070223195720464,0.011270869357977062,0.06579905686279137,0.05633497051894665,0.009464087236362198,0.9744741221268972,0.9509432713190714,3375.9
22,0.07945067621767521,0.0684957501012832,0.010954926126869395,0.04939672195663055,0.04151745264728864,0.007879269542172551,0.9795189201831818,0.9601510564486185,3351.3
23,0.07973665771540255,0.06864506064448506,0.011091597110498697,0.06586523354053497,0.056992461594442524,0.00887277334307631,0.9716211060682932,0.9455722471078237,3370.5
24,0.07855593456886709,0.0677200106298551,0.010835924061830156,0.05790954641997814,0.04885555679599444,0.009053990477696061,0.9790499806404114,0.9595470527807871,3370.3
25,0.07819245267892257,0.06733781837625429,0.01085463450406678,0.07389742353310187,0.0631063951489826,0.010791028461729487,0.971330056587855,0.9450757801532745,3381.5
26,0.07898565069073811,0.06796115163015201,0.01102449930331204,0.09429068180421989,0.08198685261110465,0.012303828572233519,0.9611260890960693,0.9263372917970022,3404.9
27,0.07552117780782282,0.06515305435052142,0.010368123535008635,0.06301253288984299,0.052891350661714874,0.010121182460958758,0.979199488957723,0.9595900078614553,3338.7
28,0.07561666109366343,0.06521197037538513,0.010404690854484215,0.06644817193349202,0.05688970908522606,0.009558462693045536,0.9704315364360809,0.9433983862400055,3404.4
29,0.07561358503997326,0.06541220182552934,0.010201383283128963,0.04971453423301379,0.04151367644468943,0.008200857477883497,0.983707586924235,0.9680338601271311,3410.3
30,0.0744268598104827,0.06424296698765829,0.01018389299075352,0.09288243328531583,0.07946389975647132,0.01341853205425044,0.966070552666982,0.9352271656195322,3401.6
31,0.07477293903008103,0.06449988584034144,0.010273053327982779,0.0576842421044906,0.04864974692463875,0.00903449517985185,0.9775685171286265,0.9564928809801737,3347.9
32,0.07202557075768709,0.06219477181090042,0.009830799018091056,0.0855732640872399,0.07411530086149772,0.011457962604860464,0.9662895301977793,0.9357689917087555,3371.6
33,0.07221297217532992,0.06225905345985666,0.009953918809478636,0.0696946953733762,0.05964323505759239,0.010051459074020386,0.9732486406962076,0.9486782054106394,3409.9
34,0.07177985216490924,0.06197959957877174,0.009800252700806596,0.07203586461643378,0.061405107068518795,0.010630757237474123,0.970774233341217,0.943916380405426,3354.5
35,0.07152270208345726,0.061792025011964145,0.009730677202460356,0.06961288986106713,0.059692250564694405,0.009920639218762517,0.9728502929210663,0.9476452668507894,3380.2
36,0.06970320752123371,0.06009397362824529,0.009609234042582102,0.05597455551226934,0.04783970738450686,0.008134847972542048,0.9763133823871613,0.9548147817452749,3356.2
37,0.07040181847289205,0.06076143089914694,0.0096403877765988,0.059800559654831886,0.05160445223251978,0.008196107810363173,0.9766638080279032,0.9551199873288473,3366.8
38,0.07097245264798403,0.06121485882322304,0.00975759380904492,0.07346787924567859,0.06236543941001097,0.011102439758057395,0.9766430457433065,0.9548898537953695,3400.4
39,0.06876857492839918,0.059387423826847224,0.009381151332054288,0.07437339176734288,0.06298731826245785,0.011386073427274823,0.9696560402711233,0.9417601525783539,3373.0
40,0.06878556659445166,0.05938876956468448,0.009396797160443384,0.07973415777087212,0.06962563035388787,0.010108526408051452,0.9674859444300333,0.9374900261561075,3389.4
41,0.06865393482847139,0.059328428867738696,0.00932550609082682,0.058737581595778465,0.048547496708730854,0.010190084343776107,0.9794053932030996,0.9599239528179169,3364.9
42,0.06709022222319617,0.05794716679200065,0.009143055525782984,0.07495325803756714,0.06432322785258293,0.010630029408882061,0.9706606268882751,0.9435119728247324,3388.1
43,0.06829177301144228,0.059011860361788425,0.009279912854835856,0.09616470336914062,0.08466053754091263,0.011504166759550571,0.9558424452940623,0.9167637924353281,3393.5
44,0.06592884115409106,0.0569430381199345,0.008985803084797225,0.08797922357916832,0.07635415345430374,0.011625070124864578,0.9658393561840057,0.9344643453756968,3391.6
45,0.06579993439139799,0.05683820539852604,0.008961729096190538,0.057948862512906395,0.04988323741902908,0.008065625714759031,0.9753419657548269,0.9524319767951965,3338.8
